['2020/03/20', '巨人', 'DeNA', '東京ドーム', '18:00']
['2020/03/21', '巨人', 'DeNA', '東京ドーム', '14:00']
['2020/03/22', '巨人', 'DeNA', '東京ドーム', '14:00']
['2020/03/24', '中日', '巨人', 'ナゴヤドーム', '18:15']
['2020/03/25', '中日', '巨人', 'ナゴヤドーム', '18:00']
['2020/03/26', '中日', '巨人', 'ナゴヤドーム', '18:00']
['2020/03/27', '巨人', 'ヤクルト', '東京ドーム', '18:00']
['2020/03/28', '巨人', 'ヤクルト', '東京ドーム', '14:00']
['2020/03/29', '巨人', 'ヤクルト', '東京ドーム', '14:00']
['2020/03/31', '巨人', '阪神', '東京ドーム', '18:00']
['2020/04/01', '巨人', '阪神', '東京ドーム', '18:00']
['2020/04/02', '巨人', '阪神', '東京ドーム', '18:00']
['2020/04/03', '広島', '巨人', 'マツダスタジアム', '18:00']
['2020/04/04', '広島', '巨人', 'マツダスタジアム', '14:00']
['2020/04/05', '広島', '巨人', 'マツダスタジアム', '13:30']
['2020/04/07', '巨人', '中日', '鹿児島', '18:00']
['2020/04/08', '巨人', '中日', '熊本', '18:00']
['2020/04/10', 'DeNA', '巨人', '横浜', '18:00']
['2020/04/11', 'DeNA', '巨人', '横浜', '14:00']
['2020/04/12', 'DeNA', '巨人', '横浜', '14:00']
['2020/04/14', 'ヤクルト', '巨人', '神宮', '18:00']
['2020/04/15', 'ヤクルト', '巨人', '神宮', '18:00']
['2020/04/16', 'ヤクルト', '巨人', '神宮', '18:00']
['2020/04/17', '巨人', '広島', '東京ドーム', '18:00']
['2020/04/18', '巨人', '広島', '東京ドーム', '14:00']
['2020/04/19', '巨人', '広島', '東京ドーム', '14:00']
['2020/04/21', '阪神', '巨人', '甲子園', '18:00']
['2020/04/22', '阪神', '巨人', '甲子園', '18:00']
['2020/04/23', '阪神', '巨人', '甲子園', '18:00']
['2020/04/24', 'DeNA', '巨人', '横浜', '18:00']
['2020/04/25', 'DeNA', '巨人', '横浜', '14:00']
['2020/04/26', 'DeNA', '巨人', '横浜', '14:00']
['2020/04/28', '巨人', 'ヤクルト', '東京ドーム', '18:00']
['2020/04/29', '巨人', 'ヤクルト', '東京ドーム', '18:00']
['2020/04/30', '巨人', 'ヤクルト', '東京ドーム', '18:00']